page	ts	kind	encoding	raw_bytes	text_lines	text_sha1	comments_sha1	updated_line
how-we.html	20111124161453	content	cp1252	14746	72	6d0601887695	d205481552d4	Updated August 16, 2011
how-we.html	20120506040540	content	cp1252	15207	69	a70815663506	f3f387b9c794	Updated April 30, 2012
how-we.html	20120624054112	content	cp1252	15384	69	0a906f686c73	f3f387b9c794	Updated May 27, 2012
how-we.html	20120814073102	content	cp1252	15275	70	8fd4125f8221	507c09dbd383	Updated July 29, 2012
how-we.html	20120915102754	content	cp1252	15442	70	72af0e86b180	507c09dbd383	Updated August 29, 2012
how-we.html	20121028145002	content	cp1252	15573	70	39dd290ce467	507c09dbd383	Updated August 29, 2012
how-we.html	20130306113924	content	cp1252	15583	70	36a0e707c4f4	507c09dbd383	Updated August 29, 2012
how-we.html	20140209182423	content	cp1252	18659	81	58f378abf992	507c09dbd383	Updated October 30, 2013
how-we.html	20141215182319	content	cp1252	19294	80	d59652bf8927	507c09dbd383	Updated Novemver 29, 2014
how-we.html	20150416005257	content	cp1252	19227	81	068907e733a2	507c09dbd383	Updated February 2, 2015
how-we.html	20150622131307	content	cp1252	19550	81	96e6a6336707	507c09dbd383	Updated May 13, 2015
how-we.html	20150729162113	content	cp1252	19028	84	c403002caa7d	507c09dbd383	Updated June 28, 2015
how-we.html	20151021121808	content	cp1252	18811	84	c403002caa7d	507c09dbd383	Updated June 28, 2015
how-we.html	20151121100142	content	cp1252	18942	84	165e803c8a14	507c09dbd383	Updated November 12, 2015
how-we.html	20151229174630	content	cp1252	18942	84	82864c2d837b	507c09dbd383	Updated December 6, 2015
how-we.html	20160527133136	content	cp1252	18942	84	82864c2d837b	507c09dbd383	Updated December 6, 2015
how-we.html	20160614011902	content	cp1252	18956	86	89b5ca295676	507c09dbd383	Updated June 12, 2016
how-we.html	20160723193950	content	cp1252	17330	77	8615cfb11712	aa397bc3ea4e	Updated July 5, 2016
how-we.html	20160818040119	content	cp1252	17864	77	9efa8c02aa2c	aa397bc3ea4e	Updated July 24, 2016
how-we.html	20170512162918	content	cp1252	18549	77	1e41cfdadf40	aa397bc3ea4e	Updated January 16, 2017
how-we.html	20170610104300	content	cp1252	18738	77	1e41cfdadf40	aa397bc3ea4e	Updated January 16, 2017
how-we.html	20170715034720	content	cp1252	18711	77	9314de4b0d49	a9549e068e9a	Updated July 4, 2017
how-we.html	20171211161219	content	cp1252	18711	77	9314de4b0d49	a9549e068e9a	Updated July 4, 2017
how-we.html	20180909185334	content	cp1252	17909	75	63c0a069bd73	da39a3ee5e6b	Updated July 4, 2017
how-we.html	20190328011927	content	cp1252	18029	76	a7e32a3bed07	da39a3ee5e6b	Updated March 25, 2019
how-we.html	20190719202821	content	cp1252	18117	75	95fdc961b61e	da39a3ee5e6b	Updated May 17, 2019
how-we.html	20200114093914	content	cp1252	18117	75	95fdc961b61e	da39a3ee5e6b	Updated May 17, 2019
how-we.html	20200606074624	content	cp1252	18182	75	b820719d6eca	da39a3ee5e6b	Updated April 19, 2020
how-we.html	20210506151447	content	cp1252	18559	82	6e1bdd731301	da39a3ee5e6b	Updated May 4, 2021
how-we.html	20220517141430	content	cp1252	18841	86	bf6573f14c89	da39a3ee5e6b	Updated September 28, 2021
how-we.html	20220712212813	content	cp1252	18841	86	bf6573f14c89	da39a3ee5e6b	Updated September 28, 2021
how-we.html	20221207204637	interstitial	utf-8	1361	9	b78c7fc97487	da39a3ee5e6b	-
how-we.html	20230329225546	interstitial	utf-8	1383	9	b78c7fc97487	da39a3ee5e6b	-
how-we.html	20231003204504	interstitial	utf-8	1325	9	b78c7fc97487	da39a3ee5e6b	-
how-we.html	20240213100829	content	utf-8	19061	86	b910e4760f9e	da39a3ee5e6b	Updated September 28, 2021
how-we.html	20240227101753	content	utf-8	19061	86	b910e4760f9e	da39a3ee5e6b	Updated September 28, 2021
how-we.html	20240316165600	content	utf-8	19212	86	f69e6a8149cf	da39a3ee5e6b	Updated March 1, 2024
how-we.html	20240416140653	content	utf-8	19212	86	f69e6a8149cf	da39a3ee5e6b	Updated March 1, 2024
how-we.html	20240619092345	interstitial	utf-8	1475	9	c1b19b29f097	da39a3ee5e6b	-
how-we.html	20240828170113	interstitial	utf-8	1447	9	c1b19b29f097	da39a3ee5e6b	-
how-we.html	20240914130810	interstitial	utf-8	10909	9	e7922ff8bed0	da39a3ee5e6b	-
how-we.html	20250121123418	content	utf-8	19194	86	0208023e4c05	e939cd8d1889	Updated March 1, 2024
how-we.html	20250304071531	content	utf-8	19194	86	0208023e4c05	e939cd8d1889	Updated March 1, 2024
how-we.html	20250307182749	interstitial	utf-8	11881	9	e7922ff8bed0	da39a3ee5e6b	-
how-we.html	20250307202431	content	utf-8	19194	86	0208023e4c05	e939cd8d1889	Updated March 1, 2024
how-we.html	20250527073128	interstitial	utf-8	12067	9	e7922ff8bed0	da39a3ee5e6b	-
how-we.html	20250714212810	interstitial	utf-8	11808	9	e7922ff8bed0	da39a3ee5e6b	-
how-we.html	20260129052031	content	utf-8	19194	86	0208023e4c05	e939cd8d1889	Updated March 1, 2024
how-we.html	20260502180530	content	utf-8	19194	86	0208023e4c05	e939cd8d1889	Updated March 1, 2024
faq_pt.html	20030629145054	content	cp1252	27385	146	f7d9f3afd01d	93c04e7324af	Updated May 9, 2003
faq_pt.html	20031217090750	content	utf-8	24148	143	e0c1e22407ea	a4e58765b9b1	Updated Nov 5, 2003
faq_pt.html	20041015201948	content	utf-8	29894	172	91809514a4ba	09d5ca568401	Updated September 11, 2004
faq_pt.html	20060209140551	content	cp1252	28083	205	f41fb3420b7a	8f8904b7984d	Updated November 16, 2005
faq_pt.html	20060514025325	content	cp1252	30594	225	de970a130995	8f8904b7984d	Updated May 11, 2006
faq_pt.html	20061119055937	content	cp1252	30887	225	fdfd448de337	8cd6f3b405ff	Updated Nov 17, 2006
faq_pt.html	20070202042717	content	cp1252	30830	225	32ab05c6824b	8cd6f3b405ff	Updated December 19, 2006
faq_pt.html	20070329131450	content	cp1252	30726	228	99d21102a25c	8f8904b7984d	Updated March 15, 2007
faq_pt.html	20070618135626	content	cp1252	32640	235	da570e7c6629	8f8904b7984d	Updated May 22, 2007
faq_pt.html	20080127115352	content	cp1252	32668	235	c447add48c2d	8f8904b7984d	Updated January 8, 2008
faq_pt.html	20081119135740	content	cp1252	33146	236	eaae7b87b432	8f8904b7984d	Updated September 10, 2008
faq_pt.html	20090827110145	content	cp1252	32911	236	8b8de1f4fed4	8f8904b7984d	Updated May 29, 2009
faq_pt.html	20111123194416	content	cp1252	33798	243	6a2d4fa9aae9	8f8904b7984d	Updated August 16, 2011
faq_pt.html	20120211201201	content	cp1252	33799	243	6a2d4fa9aae9	8f8904b7984d	Updated August 16, 2011
faq_pt.html	20120419010614	content	cp1252	33803	243	8f4b504c0719	8f8904b7984d	Updated August 16, 2011
faq_pt.html	20121205081238	content	cp1252	35093	248	2e139babd966	e2cc5f5e5a39	Updated August 29, 2012
faq_pt.html	20130314055605	content	cp1252	35443	248	d2e852cb35f6	691d94e6842e	Updated August 29, 2012
faq_pt.html	20140208105631	content	cp1252	34291	288	c6c47d069794	691d94e6842e	Updated October 30, 2013
faq_pt.html	20141214095206	content	cp1252	34422	290	b7c39b40feec	691d94e6842e	Updated May 25, 2014
faq_pt.html	20150208045611	content	cp1252	34372	288	6d91d7acfb0b	691d94e6842e	Updated January 12, 2015
faq_pt.html	20150430045151	content	cp1252	33967	288	860a7c4e8243	e2cc5f5e5a39	Updated January 12, 2015
faq_pt.html	20150623181411	content	cp1252	34361	288	6d91d7acfb0b	691d94e6842e	Updated January 12, 2015
faq_pt.html	20150731063021	content	cp1252	33944	288	d158b4c85385	e2cc5f5e5a39	Updated January 12, 2015
faq_pt.html	20151230095855	content	cp1252	36507	268	0d33eb25efe2	79a4b89ce4e7	Updated December 7, 2015
faq_pt.html	20160611040618	content	cp1252	36507	268	0d33eb25efe2	79a4b89ce4e7	Updated December 7, 2015
faq_pt.html	20160801224244	content	cp1252	35411	264	8afaa1ceb2f8	929c7b240a59	Updated July 5, 2016
faq_pt.html	20170610104150	content	cp1252	35704	264	8afaa1ceb2f8	929c7b240a59	Updated July 5, 2016
faq_pt.html	20171024144450	content	cp1252	35323	259	12647217131a	929c7b240a59	Updated July 4, 2017
faq_pt.html	20171124133208	content	cp1252	35323	259	12647217131a	929c7b240a59	Updated July 4, 2017
faq_pt.html	20190328011931	content	utf-8	34583	265	854332f166a3	da39a3ee5e6b	Updated February 22, 2019
faq_pt.html	20190719013036	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20190719210556	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20190908222620	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20191002034338	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20191021121737	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20191214193354	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
faq_pt.html	20200114093914	content	utf-8	34223	255	7975c7ba217a	da39a3ee5e6b	Updated April 11, 2019
