path	how_read	notes
/	full (site agent, Read tool incl. FORMS/LINKS)	notes/site.md §2–§6
/1429jmo.html	full	readnotes/reports-1429-1431.md
/1429jmt.html	full	readnotes/reports-1429-1431.md
/1429muh.html	full	readnotes/reports-1429-1431.md
/1429rba.html	full	readnotes/reports-1429-1431.md
/1429rbt.html	full	readnotes/reports-1429-1431.md
/1429rjb.html	full	readnotes/reports-1429-1431.md
/1429rmd.html	full	readnotes/reports-1429-1431.md
/1429sfr.html	full	readnotes/reports-1429-1431.md
/1429shb.html	full	readnotes/reports-1429-1431.md
/1429shw.html	full	readnotes/reports-1429-1431.md
/1429zhj.html	full	readnotes/reports-1429-1431.md
/1429zqd.html	full	readnotes/reports-1429-1431.md
/1430jmo.html	full	readnotes/reports-1429-1431.md
/1430jmt.html	full	readnotes/reports-1429-1431.md
/1430muh.html	full	readnotes/reports-1429-1431.md
/1430rba.html	full	readnotes/reports-1429-1431.md
/1430rbt.html	full	readnotes/reports-1429-1431.md
/1430rjb.html	full	readnotes/reports-1429-1431.md
/1430rmd.html	full	readnotes/reports-1429-1431.md
/1430sfr.html	full	readnotes/reports-1429-1431.md
/1430shb.html	full	readnotes/reports-1429-1431.md
/1430shw.html	full	readnotes/reports-1429-1431.md
/1430zhj.html	full	readnotes/reports-1429-1431.md
/1430zqd.html	full	readnotes/reports-1429-1431.md
/1431jmo.html	full	readnotes/reports-1429-1431.md
/1431jmt.html	full	readnotes/reports-1429-1431.md
/1431muh.html	full	readnotes/reports-1429-1431.md
/1431rba.html	full	readnotes/reports-1429-1431.md
/1431rbt.html	full	readnotes/reports-1429-1431.md
/1431rjb.html	full	readnotes/reports-1429-1431.md
/1431rmd.html	full	readnotes/reports-1429-1431.md
/1431sfr.html	full	readnotes/reports-1429-1431.md
/1431shb.html	full	readnotes/reports-1429-1431.md
/1431shw.html	full	readnotes/reports-1429-1431.md
/1431zhj.html	full	readnotes/reports-1429-1431.md
/1431zqd.html	full	readnotes/reports-1429-1431.md
/1435jmo.html	full	readnotes/reports-1435-1438.md
/1435jmt.html	full	readnotes/reports-1435-1438.md
/1435muh.html	full	readnotes/reports-1435-1438.md
/1435rba.html	full	readnotes/reports-1435-1438.md
/1435rbt.html	full	readnotes/reports-1435-1438.md
/1435rjb.html	full	readnotes/reports-1435-1438.md
/1435rmd.html	full	readnotes/reports-1435-1438.md
/1435sfr.html	full	readnotes/reports-1435-1438.md
/1435shb.html	full	readnotes/reports-1435-1438.md
/1435shw.html	full	readnotes/reports-1435-1438.md
/1435zhj.html	full	readnotes/reports-1435-1438.md
/1435zqd.html	full	readnotes/reports-1435-1438.md
/1436jmo.html	full	readnotes/reports-1435-1438.md
/1436jmt.html	full	readnotes/reports-1435-1438.md
/1436muh.html	full	readnotes/reports-1435-1438.md
/1436rba.html	full	readnotes/reports-1435-1438.md
/1436rbt.html	full	readnotes/reports-1435-1438.md
/1436rjb.html	full	readnotes/reports-1435-1438.md
/1436rmd.html	full	readnotes/reports-1435-1438.md
/1436sfr.html	full	readnotes/reports-1435-1438.md
/1436shb.html	full	readnotes/reports-1435-1438.md
/1436shw.html	full	readnotes/reports-1435-1438.md
/1436zhj.html	full	readnotes/reports-1435-1438.md
/1436zqd.html	full	readnotes/reports-1435-1438.md
/1438fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1435-1438.md + calendars-indexcgi-fcna-dups.md
/1438jmo.html	full	readnotes/reports-1435-1438.md
/1438jmt.html	full	readnotes/reports-1435-1438.md
/1438muh.html	full	readnotes/reports-1435-1438.md
/1438rba.html	full	readnotes/reports-1435-1438.md
/1438rbt.html	full	readnotes/reports-1435-1438.md
/1438rjb.html	full	readnotes/reports-1435-1438.md
/1438rmd.html	full	readnotes/reports-1435-1438.md
/1438rmd.html?mc_cid=3eea635ad3&mc_eid=cc4f6854b4	full diff vs /1438rmd.html (only SOURCE line differs)	readnotes/reports-1435-1438.md
/1438sfr.html	full	readnotes/reports-1435-1438.md
/1438shb.html	full	readnotes/reports-1435-1438.md
/1438shw.html	full	readnotes/reports-1435-1438.md
/1438zhj.html	full	readnotes/reports-1435-1438.md
/1438zqd.html	full	readnotes/reports-1435-1438.md
/1439fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1439-1440.md + calendars-indexcgi-fcna-dups.md
/1439jmo.html	full	readnotes/reports-1439-1440.md
/1439jmt.html	full	readnotes/reports-1439-1440.md
/1439muh.html	full	readnotes/reports-1439-1440.md
/1439rba.html	full	readnotes/reports-1439-1440.md
/1439rbt.html	full	readnotes/reports-1439-1440.md
/1439rjb.html	full	readnotes/reports-1439-1440.md
/1439rmd.html	full	readnotes/reports-1439-1440.md
/1439sfr.html	full	readnotes/reports-1439-1440.md
/1439shb.html	full	readnotes/reports-1439-1440.md
/1439shw.html	full	readnotes/reports-1439-1440.md
/1439zhj.html	full	readnotes/reports-1439-1440.md
/1439zhj.html?_e_pi_=7%2CPAGE_ID10%2C7730956992	full diff vs /1439zhj.html (only SOURCE line differs)	readnotes/reports-1439-1440.md
/1439zqd.html	full	readnotes/reports-1439-1440.md
/1440fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1439-1440.md + calendars-indexcgi-fcna-dups.md
/1440jmo.html	full	readnotes/reports-1439-1440.md
/1440jmt.html	full	readnotes/reports-1439-1440.md
/1440muh.html	full	readnotes/reports-1439-1440.md
/1440rba.html	full	readnotes/reports-1439-1440.md
/1440rbt.html	full	readnotes/reports-1439-1440.md
/1440rjb.html	full	readnotes/reports-1439-1440.md
/1440rmd.html	full	readnotes/reports-1439-1440.md
/1440sfr.html	full	readnotes/reports-1439-1440.md
/1440shb.html	full	readnotes/reports-1439-1440.md
/1440shw.html	full	readnotes/reports-1439-1440.md
/1440zhj.html	full	readnotes/reports-1439-1440.md
/1440zqd.html	full	readnotes/reports-1439-1440.md
/1441fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1441-1442.md + calendars-indexcgi-fcna-dups.md
/1441jmo.html	full	readnotes/reports-1441-1442.md
/1441jmt.html	full	readnotes/reports-1441-1442.md
/1441muh.html	full	readnotes/reports-1441-1442.md
/1441rba.html	full	readnotes/reports-1441-1442.md
/1441rbt.html	full	readnotes/reports-1441-1442.md
/1441rjb.html	full	readnotes/reports-1441-1442.md
/1441rmd.html	full	readnotes/reports-1441-1442.md
/1441sfr.html	full	readnotes/reports-1441-1442.md
/1441shb.html	full	readnotes/reports-1441-1442.md
/1441shw.html	full	readnotes/reports-1441-1442.md
/1441zhj.html	full	readnotes/reports-1441-1442.md
/1441zqd.html	full	readnotes/reports-1441-1442.md
/1442fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1441-1442.md + calendars-indexcgi-fcna-dups.md
/1442jmo.html	full	readnotes/reports-1441-1442.md
/1442jmt.html	full	readnotes/reports-1441-1442.md
/1442muh.html	full	readnotes/reports-1441-1442.md
/1442rba.html	full	readnotes/reports-1441-1442.md
/1442rbt.html	full	readnotes/reports-1441-1442.md
/1442rjb.html	full	readnotes/reports-1441-1442.md
/1442rmd.html	full	readnotes/reports-1441-1442.md
/1442sfr.html	full	readnotes/reports-1441-1442.md
/1442shb.html	full	readnotes/reports-1441-1442.md
/1442shw.html	full	readnotes/reports-1441-1442.md
/1442zhj.html	full	readnotes/reports-1441-1442.md
/1442zqd.html	full	readnotes/reports-1441-1442.md
/1443fcna.html	full (reports reader) + full diff vs 1438fcna	readnotes/reports-1443-1444.md + calendars-indexcgi-fcna-dups.md
/1443jmo.html	full	readnotes/reports-1443-1444.md
/1443jmt.html	full	readnotes/reports-1443-1444.md
/1443muh.html	full	readnotes/reports-1443-1444.md
/1443rba.html	full	readnotes/reports-1443-1444.md
/1443rbt.html	full	readnotes/reports-1443-1444.md
/1443rjb.html	full	readnotes/reports-1443-1444.md
/1443rmd.html	full	readnotes/reports-1443-1444.md
/1443rmd.html?fbclid=IwAR1g6XlT2B43HV0av0J-onMZAPx1vsFMd-1-w7WwItLfQeGijk-OLRwjLa0	full diff vs /1443rmd.html (only SOURCE line differs)	readnotes/reports-1443-1444.md
/1443sfr.html	full	readnotes/reports-1443-1444.md
/1443shb.html	full	readnotes/reports-1443-1444.md
/1443shw.html	full	readnotes/reports-1443-1444.md
/1443zhj.html	full	readnotes/reports-1443-1444.md
/1443zqd.html	full	readnotes/reports-1443-1444.md
/1444HijriCalendar.pdf	full (extracted text, site agent)	site-reading/*.pdf.txt; notes/site.md §7
/1444jmo.html	full	readnotes/reports-1443-1444.md
/1444jmt.html	full	readnotes/reports-1443-1444.md
/1444muh.html	full	readnotes/reports-1443-1444.md
/1444rba.html	full	readnotes/reports-1443-1444.md
/1444rbt.html	full	readnotes/reports-1443-1444.md
/1444rjb.html	full	readnotes/reports-1443-1444.md
/1444rmd.html	full	readnotes/reports-1443-1444.md
/1444sfr.html	full	readnotes/reports-1443-1444.md
/1444shb.html	full	readnotes/reports-1443-1444.md
/1444shw.html	full	readnotes/reports-1443-1444.md
/1444zhj.html	full	readnotes/reports-1443-1444.md
/1444zqd.html	full	readnotes/reports-1443-1444.md
/1445jmo.html	full	readnotes/reports-1445-1448.md
/1445jmt.html	full	readnotes/reports-1445-1448.md
/1445muh.html	full	readnotes/reports-1445-1448.md
/1445rba.html	full	readnotes/reports-1445-1448.md
/1445rbt.html	full	readnotes/reports-1445-1448.md
/1445rjb.html	full	readnotes/reports-1445-1448.md
/1445rmd.html	full	readnotes/reports-1445-1448.md
/1445sfr.html	full	readnotes/reports-1445-1448.md
/1445shb.html	full	readnotes/reports-1445-1448.md
/1445shw.html	full	readnotes/reports-1445-1448.md
/1445zhj.html	full	readnotes/reports-1445-1448.md
/1445zqd.html	full	readnotes/reports-1445-1448.md
/1446jmo.html	full	readnotes/reports-1445-1448.md
/1446jmt.html	full	readnotes/reports-1445-1448.md
/1446muh.html	full	readnotes/reports-1445-1448.md
/1446rba.html	full	readnotes/reports-1445-1448.md
/1446rbt.html	full	readnotes/reports-1445-1448.md
/1446rjb.html	full	readnotes/reports-1445-1448.md
/1446rmd.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1446sfr.html	full	readnotes/reports-1445-1448.md
/1446shb.html	full	readnotes/reports-1445-1448.md
/1446shw.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1446zhj.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1446zqd.html	full	readnotes/reports-1445-1448.md
/1447jmo.html	full	readnotes/reports-1445-1448.md
/1447jmt.html	full	readnotes/reports-1445-1448.md
/1447muh.html	full	readnotes/reports-1445-1448.md
/1447rba.html	full	readnotes/reports-1445-1448.md
/1447rbt.html	full	readnotes/reports-1445-1448.md
/1447rjb.html	full	readnotes/reports-1445-1448.md
/1447rmd.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1447rmd.html?utm_source=chatgpt.com	full diff vs /1447rmd.html (only SOURCE line differs)	readnotes/reports-1445-1448.md
/1447sfr.html	full	readnotes/reports-1445-1448.md
/1447shb.html	full	readnotes/reports-1445-1448.md
/1447shw.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1447zhj.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1447zqd.html	full	readnotes/reports-1445-1448.md
/1448jmo.html	full	readnotes/reports-1445-1448.md
/1448jmt.html	full	readnotes/reports-1445-1448.md
/1448muh.html	full	readnotes/reports-1445-1448.md
/1448rba.html	full	readnotes/reports-1445-1448.md
/1448rbt.html	full	readnotes/reports-1445-1448.md
/1448rjb.html	full	readnotes/reports-1445-1448.md
/1448rmd.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1448sfr.html	full	readnotes/reports-1445-1448.md
/1448shb.html	full	readnotes/reports-1445-1448.md
/1448shw.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1448zhj.html	full diff vs /1445zhj.html (template)	readnotes/reports-1445-1448.md
/1448zqd.html	full	readnotes/reports-1445-1448.md
/3books.html	full	readnotes/site-pages-reread.md
/about-us.html	full (site agent, Read tool incl. FORMS/LINKS)	notes/site.md §2–§6
/actual-saudi-dates.pdf	full (extracted text, site agent)	site-reading/*.pdf.txt; notes/site.md §7
/articles.html	full (site agent, Read tool incl. FORMS/LINKS)	notes/site.md §2–§6
/articles/2eclipses.html	full	readnotes/site-pages-reread.md
/articles/chronology.html	full	readnotes/site-pages-reread.md
/articles/eid-on-4-days.html	full	readnotes/site-pages-reread.md
/articles/full-moon-on-eidul-adha.html	full	readnotes/site-pages-reread.md
/articles/hilal-manaazil.html	full	readnotes/site-pages-reread.md
/articles/inventions.html	full	readnotes/site-pages-reread.md
/articles/roleofislam.html	full	readnotes/site-pages-reread.md
/articles/significance%20of%20urjoonal-qadeem.html	full	readnotes/site-pages-reread.md
/articles/story-of-wise-man.html	full	readnotes/site-pages-reread.md
/articles/when-hijri-calendar.html	full	readnotes/site-pages-reread.md
/articles/why-islamic-dates-in-mess.html	full	readnotes/site-pages-reread.md
/assets/bootstrap/js/bootstrap.min.js	full via fold	readnotes/js-files.md
/assets/js/apple_map.js	full via fold	readnotes/js-files.md
/assets/js/index.js	full via fold	readnotes/js-files.md
/assets/js/jquery.min.js	full via fold	readnotes/js-files.md
/assets/js/tz.js	full via fold	readnotes/js-files.md
